drug_name,boxed_warning,contraindications_len,indications_len,manufacturer
sevelamer carbonate,0,53,64,DR. REDDY'S LABORATORIES LIMITED
,0,0,12,Unknown
clotrimazole,0,0,27,"Pharmaceutica North America, Inc"
,0,112,155,Unknown
,1,82,328,Unknown
,0,0,16,Unknown
ibuprofen,1,72,96,Aurobindo Pharma Limited
,1,116,863,Unknown
air,0,0,0,"SYOXSA, Inc."
benzalkonium chloride,0,0,15,Biopure Services Llc
,0,0,40,Unknown
zinc pyrithione,0,0,12,HIMS INC
,1,19,102,Unknown
,0,0,6,Unknown
simvastatin,0,141,248,"PD-Rx Pharmaceuticals, Inc."
,0,0,5,Unknown
,0,0,11,Unknown
,0,0,23,Unknown
diltiazem hydrochloride,0,72,46,Bryant Ranch Prepack
,0,0,0,Unknown
lidocaine,0,0,5,"Chattem, Inc."
,1,111,99,Unknown
,0,50,338,Unknown
acetaminophen,0,0,26,Topco Associates LLC
,0,0,0,Unknown
,0,0,19,Unknown
,0,0,5,Unknown
,0,0,23,Unknown
levothyroxine sodium,1,23,213,A-S Medication Solutions
,0,25,42,Unknown
,0,28,40,Unknown
,1,131,1483,Unknown
mafenide acetate,0,23,20,"Rising Pharma Holdings, Inc."
,0,38,252,Unknown
,1,135,134,Unknown
indomethacin,1,132,78,"PD-Rx Pharmaceuticals, Inc."
,1,258,210,Unknown
capsaicin,0,0,22,"Alexso, Inc"
,0,0,16,Unknown
,0,0,28,Unknown
,0,53,37,Unknown
,0,0,12,Unknown
hydrocortisone acetate,0,37,34,Meda Pharmaceuticals Inc.
,0,85,169,Unknown
vancomycin hydrochloride,0,15,394,Gland Pharma Limited
,0,0,29,Unknown
,0,0,30,Unknown
,0,0,6,Unknown
chloroxylenol,0,0,15,"Wechem, Inc."
,0,336,108,Unknown
,0,0,32,Unknown
azacitidine for,0,58,156,Pilnova Pharma Inc
lorazepam,1,22,83,"Preferred Pharmaceuticals, Inc."
,0,0,12,Unknown
,0,286,644,Unknown
,0,0,17,Unknown
,1,122,202,Unknown
esomeprazole magnesium,0,155,548,Bryant Ranch Prepack
,1,128,54,Unknown
ranolazine,0,68,53,Viona Pharmaceuticals Inc
,1,115,241,Unknown
,0,0,28,Unknown
witch hazel,0,0,15,"Publix Super Markets, Inc"
sitagliptin and metformin hydrochloride,1,109,151,Zydus Lifesciences Limited
cholestyramine light,0,37,570,"EPIC PHARMA, LLC"
,0,3,33,Unknown
,0,0,17,Unknown
,0,0,14,Unknown
,0,0,9,Unknown
,0,0,31,Unknown
sodium chloride,0,20,33,ICU Medical Inc.
,0,0,22,Unknown
,0,0,97,Unknown
paroxetine hydrochloride hemihydrate,1,166,79,REMEDYREPACK INC.
ibuprofen,0,0,22,"Cardinal Health 110, LLC. dba Leader"
doxylamine succinate,0,0,8,ARMY AND AIR FORCE EXCHANGE SERVICE
,0,18,37,Unknown
,0,0,20,Unknown
,0,0,32,Unknown
amlodipine besylate,0,21,572,A-S Medication Solutions
,0,0,35,Unknown
"dextroamphetamine saccharate, amphetamine aspartate, dextroamphetamine sulfate and amphetamine sulfate",1,81,209,Bryant Ranch Prepack
ethyl alcohol,0,0,26,Pearl World Inc.
,1,136,88,Unknown
,0,0,33,Unknown
tolnaftate,0,0,33,Bayer HealthCare LLC.
,0,0,29,Unknown
"alfalfa, cadmium sulphuratum, calcarea carbonica, cuprum metallicum, ferrum metallicum, fucus vesiculosus, hypericum perforatum, kali phosphoricum, magnesia phosphorica, manganum metallicum, mercurius vivus, plumbum metallicum, silicea, symphytum officinale, tarentula hispana, x-ray, ytterbium oxide",0,0,40,"Deseret Biologicals, Inc."
alcohol,0,0,18,"Buckeye International, Inc."
dimenhydrinate,0,0,15,"Chain Drug Marketing Association, Inc."
,1,124,199,Unknown
,0,0,12,Unknown
,0,27,65,Unknown
,0,0,26,Unknown
,0,0,0,Unknown
levothyroxine sodium,1,28,203,Proficient Rx LP
lansoprazole,0,111,757,Xiromed LLC
antacid tablets,0,0,17,"Chain Drug Consortium, LLC"
,0,0,23,Unknown
prednisolone acetate,0,72,27,"Allergan, Inc."
zoledronic acid,0,47,202,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.
,0,0,32,Unknown
,0,0,0,Unknown
,0,0,8,Unknown
,0,0,31,Unknown
,0,0,12,Unknown
,1,86,163,Unknown
,0,0,24,Unknown
,0,77,616,Unknown
,0,0,5,Unknown
pseudoephedrine hydrochloride,0,0,23,The Kroger Company
,1,162,194,Unknown
simethicone,0,0,14,Walgreens
,0,0,41,Unknown
,0,0,22,Unknown
,0,33,68,Unknown
,0,0,11,Unknown
,0,0,0,Unknown
,1,102,139,Unknown
,0,0,4,Unknown
esomeprazole magnesium,0,162,555,A-S Medication Solutions
alcohol,0,0,14,"Tween Brands, Inc."
,0,41,21,Unknown
hydroxychloroquine sulfate,0,16,239,"Aphena Pharma Solutions - Tennessee, LLC"
,0,0,30,Unknown
,0,0,20,Unknown
"avobenzone, homosalate, octisalate, octocrylene, and oxybenzone",0,0,33,"Walmart, Inc."
,0,0,0,Unknown
,1,177,100,Unknown
tetracycline hydrochloride,0,16,388,"Breckenridge Pharmaceutical, Inc."
,0,7,13,Unknown
,0,0,92,Unknown
,0,0,18,Unknown
eptifibatide,0,154,128,Eugia US LLC
,0,107,347,Unknown
,0,21,21,Unknown
,0,0,26,Unknown
nitrofurantoin,0,236,230,Casper Pharma LLC
,0,0,15,Unknown
atorvastatin calcium,0,66,307,Bryant Ranch Prepack
cetirizine hydrochloride tablets,0,0,27,Strategic Sourcing Services LLC
,1,133,697,Unknown
sodium fluoride,0,18,96,"Rising Pharma Holdings, Inc."
,1,45,325,Unknown
,0,37,418,Unknown
acetaminophen and codeine phosphate,1,123,97,"Northwind Pharmaceuticals, LLC"
acetaminophen and codeine phosphate,1,124,136,REMEDYREPACK INC.
,0,0,14,Unknown
ondansetron hydrochloride,0,64,153,ST. MARY'S MEDICAL PARK PHARMACY
,0,0,7,Unknown
,0,0,17,Unknown
cyclobenzaprine hydrochloride,0,63,133,ST. MARY'S MEDICAL PARK PHARMACY
valsartan,1,48,588,Archis Pharma LLC
,0,0,13,Unknown
lisinopril and hydrochlorothiazide tablets,1,112,452,ST. MARY'S MEDICAL PARK PHARMACY
allopurinol,0,19,186,ST. MARY'S MEDICAL PARK PHARMACY
,0,0,22,Unknown
doxycycline,0,16,501,ST. MARY'S MEDICAL PARK PHARMACY
isopropyl alcohol,0,0,17,Dukal LLC
menthol,0,0,19,Medical Group Care LLC
menthol,0,0,28,"Ubu/Elements, Inc."
isopropyl alcohol,0,0,17,Dollar General Corporation
,0,39,87,Unknown
,0,0,5,Unknown
,0,0,27,Unknown
,0,0,6,Unknown
lidocaine patch 4%,0,0,7,Transfer Technology
"apis mellifica, borax, carduus marianus, cistus canadensis, echinacea (angustifolia), galium aparine, hepar suis, hepar sulphuris calcareum, human growth hormone, hypophysis suis, nitricum acidum, phytolacca decandra, sulphur, thuja occidentalis, thymus suis",0,0,46,"Liddell Laboratories, Inc."
lidocaine patch 4%,0,0,9,Transfer Technology
coffea cruda,0,0,9,OHM PHARMA INC.
,1,40,194,Unknown
,0,0,13,Unknown
,0,0,24,Unknown
,0,0,30,Unknown
,0,0,30,Unknown
,0,135,373,Unknown
serdexmethylphenidate and dexmethylphenidate,1,120,53,"Corium, LLC."
,0,0,15,Unknown
"cadmium sulfate, graphite, phosphoric acid, silicon dioxide, selenium, thallium, ustilago maydis",0,0,47,Homeocare Laboratories
,0,283,630,Unknown
,0,0,15,Unknown
ibuprofen,0,0,26,Family Dollar (FAMILY WELLNESS)
,1,80,76,Unknown
,0,0,16,Unknown
,0,0,15,Unknown
tramadol hydrochloride,1,222,233,Proficient Rx LP
ibuprofen,0,0,20,"Wal-Mart Stores, Inc."
"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",0,0,13,Unishield
,0,36,214,Unknown
,0,0,48,Unknown
,0,0,11,Unknown
,0,0,43,Unknown
glimepiride,0,123,109,"Aphena Pharma Solutions - Tennessee, LLC"
,0,0,7,Unknown
trimethobenzamide hydrochloride,0,28,157,Bryant Ranch Prepack
,0,399,575,Unknown
,0,0,18,Unknown
,0,0,0,Unknown
,1,114,41,Unknown
tamsulosin hydrochloride,0,59,73,A-S Medication Solutions
menthol,0,0,20,RB Health (US) LLC
,1,274,242,Unknown
haloperidol,1,31,125,Lifestar Pharma LLC
,0,0,28,Unknown
"menthol, unspecified form",0,0,19,RB Health (US) LLC
,0,0,30,Unknown
,0,0,26,Unknown
,0,0,28,Unknown
,0,0,40,Unknown
naproxen sodium,0,0,35,Target Corporation
,1,33,229,Unknown
,0,10,157,Unknown
oseltamivir phosphate,0,62,282,"Asclemed USA, Inc."
aluminum chlorohydrate,0,0,7,"Toms of Maine, Inc."
,0,0,0,Unknown
,0,26,560,Unknown
,0,260,510,Unknown
glo skin beauty oil-free tinted primer spf 30,0,0,31,Hayden Caleel LLC
,0,0,132,Unknown
povidone-iodine,0,0,4,"Owens & Minor Distribution, Inc."
naltrexone hydrochloride,0,88,55,A-S Medication Solutions
,0,24,27,Unknown
,0,0,15,Unknown
ropinirole hydrochloride,0,45,59,Bryant Ranch Prepack
,0,0,3,Unknown
acetaminophen,0,0,28,Rite Aid Corporation
ketoconazole,0,21,120,"ANI Pharmaceuticals, Inc."
fenofibrate,0,128,249,A-S Medication Solutions
,1,42,608,Unknown
,0,54,473,Unknown
gaunfacine,0,14,29,A2A Integrated Pharmaceuticals
,1,74,121,Unknown
,0,0,12,Unknown
,0,0,15,Unknown
guaifenesin,0,0,23,SAM'S WEST INC
mirvetuximab soravtansine,1,7,110,"ImmunoGen, Inc."
lactulose,0,22,109,"Actavis Pharma, Inc."
,0,0,30,Unknown
ursodiol,0,54,79,AvKARE
leuprolide acetate,0,165,426,AbbVie Inc.
pravastatin sodium,0,50,234,Bryant Ranch Prepack
,0,0,29,Unknown
zinc oxide 20%,0,0,15,Rugby Laboratories
,0,0,45,Unknown
erythromycin,0,20,17,Bryant Ranch Prepack
"bacitracin zinc, neomycin sulfate , polymyxin b sulfate.",0,0,14,TRIFECTA PHARMACEUTICALS USA LLC
,1,68,240,Unknown
alcohol,0,0,17,Solventum US OpCo LLC
,0,62,151,Unknown
magnesium hydroxide,0,0,14,STRATEGIC SOURCING SERVICES LLC
docetaxel anhydrous,1,73,333,"Hospira, Inc."
,0,0,15,Unknown
,0,0,60,Unknown
,0,23,55,Unknown
,0,0,43,Unknown
clonidine hydrochloride,0,18,26,REMEDYREPACK INC.
argentum metalicum,0,0,5,AG Essence
,0,0,15,Unknown
octinoxate,0,0,30,ALTONA COSMETICS TECHNOLOGY SANAYI VE TICARET ANONIM SIRKETI
minoxidil,0,0,18,Rite Aid Corporation
,0,49,45,Unknown
naturium dew-glow moisturizer spf 50,0,0,29,"MANA Products, Inc"
,0,0,10,Unknown
,0,209,644,Unknown
,0,0,30,Unknown
benzalkonium chloride,0,0,12,"JIANGMEN SHUIZIRUN SANITARY ARTICLES CO., LTD."
,1,41,18,Unknown
,0,131,237,Unknown
,0,0,20,Unknown
decitabine,0,4,133,BluePoint Laboratories
sport spf 70 lotion,0,0,32,H.E.B
,0,0,13,Unknown
tadalafil,0,172,184,A-S Medication Solutions
,0,0,16,Unknown
,0,0,16,Unknown
,0,0,4,Unknown
caffeine,0,0,12,Kroger Company
benzalkonium chloride,0,0,14,Innocore Sales & Marketing Inc
,0,0,3,Unknown
,0,0,37,Unknown
benzalkonium chloride,0,0,14,"ERC ACQUISITION, INC."
,0,0,7,Unknown
,0,124,44,Unknown
,0,0,4,Unknown
amoxicillin and clavulanate potassium,0,106,344,A-S Medication Solutions
,0,19,868,Unknown
,1,36,722,Unknown
,0,0,31,Unknown
,0,0,5,Unknown
,0,0,4,Unknown
,0,0,14,Unknown
amitriptyline hydrochloride,1,124,23,A-S Medication Solutions
,0,0,0,Unknown
clonidine hydrochloride,0,19,28,"Aphena Pharma Solutions - Tennessee, LLC"
salicylic acid,0,0,8,"Topiderm, Inc."
,1,98,78,Unknown
otc antimicrobial drug products,0,0,29,"DermaRite Industries, LLC"
nitrous oxide,0,0,0,"Airtec Gases, LLC"
,0,0,12,Unknown
ibuprofen,0,0,22,Topco Associates LLC
"aconitum napellus, bryonia root, calcium cation, spongia officinalis skeleton, roasted, tin, medicago sativa leaf, oat, arabica coffee bean",0,0,32,Schwabe Mexico S.A. DE C.V.
baclofen injection,1,41,289,Piramal Critical Care Inc
nisoldipine,0,16,25,Mylan Pharmaceuticals Inc.
,0,0,4,Unknown
essence black pepper and cedarwood scent 48h fresh and dry antiperspirant,0,0,9,Conopco Inc. d/b/a/ Unilever
black frozen pear and cedarwood scent 48h fresh and dry antiperspirant,0,0,9,Conopco Inc. d/b/a/ Unilever
dark temptation dark chocolate scent 48h fresh and dry antiperspirant,0,0,9,Conopco Inc. d/b/a/ Unilever
phoenix crushed mint and rosemary 48h fresh and dry antiperspirant,0,0,9,Conopco Inc. d/b/a/ Unilever
,0,0,0,Unknown
,0,0,29,Unknown
,0,0,0,Unknown
,0,37,202,Unknown
argentum metalicum,0,0,25,AG Essence
,0,124,390,Unknown
capsaicin,0,0,18,Nufabrx LLC
zinc oxide,0,0,9,Balmere
,0,0,30,Unknown
,0,68,168,Unknown
zinc oxide,0,0,10,Colorescience
propylhexedrine,0,0,21,BF ASCHER AND CO INC
,0,0,15,Unknown
,0,0,27,Unknown
,0,19,88,Unknown
aspirin,0,0,27,Pharmadel LLC
,0,0,20,Unknown
,0,0,11,Unknown
,0,0,28,Unknown
hypromellose ophthalmic solution,0,0,16,Red Wedding LLC
,0,0,4,Unknown
meb gluco-vitality patch,0,0,117,"Kadesh Incoporation Co,Ltd"
,0,73,624,Unknown
,0,0,29,Unknown
"lidocaine 4%, menthol 1%",0,0,4,"Derma Care Research Labs, LLC"
,1,31,152,Unknown
cyclobenzaprine hydrochloride,0,63,133,"NuCare Pharmaceuticals,Inc."
,0,19,88,Unknown
"travoprost ophthalmic solution, 0.004%",0,7,59,Mylan Pharmaceuticals Inc.
nitrogen oxygen mix,0,0,0,"Airgas Usa, LLC"
,0,0,0,Unknown
,0,0,7,Unknown
,0,0,15,Unknown
,0,0,15,Unknown
"acetaminophen, diphenhydramine hcl",0,0,14,"SAVE-A-LOT FOOD STORES, LTD."
menthol 10.5%,0,0,20,"Derma Care Research Labs, LLC"
,0,0,15,Unknown
,0,0,15,Unknown
,0,0,11,Unknown
,0,0,15,Unknown
cefazolin,0,17,481,"WG Critical Care, LLC"
lidocaine hcl 4%,0,0,46,"Derma Care Research Labs, LLC"
norgestimate and ethinyl estradiol,1,302,60,"PD-Rx Pharmaceuticals, Inc."
topiramate,0,4,158,"Quality Care Products, LLC"
metoprolol tartrate,0,81,496,"PD-Rx Pharmaceuticals, Inc."
,1,40,521,Unknown
,0,0,7,Unknown
,0,0,22,Unknown
,0,25,114,Unknown
ranitidine,0,0,29,Dr. Reddy's Laboratories Limited
,0,0,4,Unknown
,0,19,28,Unknown
dimethicone,0,0,31,"Medline Industries, LP"
,0,0,39,Unknown
,0,0,21,Unknown
,0,0,0,Unknown
,0,0,18,Unknown
oseltamivir phosphate,0,66,285,"Lannett Company, Inc."
,0,0,29,Unknown
,1,55,168,Unknown
,0,0,60,Unknown
,1,120,50,Unknown
,0,0,8,Unknown
,0,0,38,Unknown
,0,0,19,Unknown
,0,0,30,Unknown
,0,0,12,Unknown
,0,0,30,Unknown
,0,0,23,Unknown
celecoxib,1,137,171,A-S Medication Solutions
,0,0,10,Unknown
,1,69,105,Unknown
,0,0,8,Unknown
"avobenzone, homosalate, octisalate, octocrylene, octinoxate",0,0,4,"Aloe Care International, LLC"
finasteride,0,166,82,"Camber Pharmaceuticals, Inc."
,0,42,149,Unknown
,0,0,13,Unknown
doxycycline,0,16,435,Proficient Rx LP
pyrithione zinc,0,0,11,The Kroger Co.
acetaminophen,0,0,83,Granules India Limited
,0,0,30,Unknown
acetaminophen,0,0,20,Aurohealth LLC
"avobenzone, homosalate, octisalate, and octocrylene",0,0,30,SHISEIDO AMERICAS CORPORATION
,1,16,35,Unknown
,0,0,5,Unknown
menthol 4%,0,0,18,"Derma Care Research Labs, LLC"
,0,0,30,Unknown
allantoin 0.5%,0,0,3,"Derma Care Research Labs, LLC"
sildenafil citrate,0,264,28,"PD-Rx Pharmaceuticals, Inc."
"avobenzone, homosalate, octisalate, octocrylene",0,0,30,Old East Main CO.
,1,84,141,Unknown
advanced peach and chamomile tea dry spray 72h antiperspirant deodorant,0,0,5,"Conopco, Inc. d/b/a Unilever"
"lidocaine 5%, phenylephrine hydrochloride 0.25%",0,0,13,Derma Care Research Labs
,0,0,39,Unknown
naproxen sodium,0,0,26,Bayer HealthCare LLC.
doxepin hydrochloride,0,154,54,"Golden State Medical Supply, Inc."
fexofenadine hcl,0,0,23,CVS
,0,0,39,Unknown
lidocaine 4%,0,0,42,"Derma Care Research Labs, LLC"
,0,31,19,Unknown
,1,46,319,Unknown
avobenzone/octisalate/octocrylene,0,0,4,Mary Kay Inc.
,0,0,38,Unknown
,1,59,261,Unknown
apraclonidine hydrochloride ophthalmic solution,0,27,29,"Harrow Eye, LLC"
,1,166,484,Unknown
,1,60,92,Unknown
,0,0,30,Unknown
guanfacine,0,47,64,Bryant Ranch Prepack
,0,0,35,Unknown
"camphor (synthetic), eucalyptus oil, menthol",0,0,38,Procter & Gamble Manufactura S de RL de CV
,0,24,24,Unknown
,1,42,314,Unknown
,0,25,306,Unknown
,0,0,12,Unknown
,0,0,9,Unknown
,0,53,26,Unknown
,0,41,22,Unknown
,1,0,42,Unknown
lisinopril and hydrochlorothiazide,1,111,454,"PD-Rx Pharmaceuticals, Inc."
,0,0,21,Unknown
,0,0,29,Unknown
,0,16,20,Unknown
mesalamine,0,63,74,Amneal Pharmaceuticals LLC
diphenhydramine hcl,0,0,38,Lidl US LLC
,0,42,15,Unknown
dextromethorphan,0,0,31,ATLANTIC BIOLOGICALS CORP.
cough spray,0,0,35,"Saint Medicine, Inc."
,0,0,15,Unknown
,1,375,125,Unknown
,0,80,343,Unknown
,0,0,21,Unknown
,0,0,66,Unknown
,0,0,41,Unknown
white petrolatum,0,0,29,WAL-MART STORES INC
"acetaminophen,caffeine",0,0,12,WAL-MART STORES INC
benzoyl peroxide,0,0,25,"Topiderm, Inc."
lidocaine,0,29,25,"Quality Care; Products, LLC"
bupivacaine hydrochloride,1,109,221,"Henry Schein, Inc."
amoxicillin,0,56,498,A-S Medication Solutions
eszopiclone,1,71,111,"Camber Pharmaceuticals, Inc."
,0,60,109,Unknown
,0,0,18,Unknown
tizanidne hydrochloride,0,47,93,Bryant Ranch Prepack
nitisinone,0,7,64,Cycle Pharmaceuticals Ltd.
,1,31,19,Unknown
clindamycin phosphate,0,34,45,Bryant Ranch Prepack
,1,101,135,Unknown
,0,0,44,Unknown
,0,0,10,Unknown
apollo sage and cedarwood scent 48h fresh and dry antiperspirant,0,0,9,Conopco Inc. d/b/a/ Unilever
,1,37,21,Unknown
,0,0,4,Unknown
,0,52,24,Unknown
benzalkonium chloride,0,0,6,Kroger Company
,0,0,5,Unknown
benzalkonium chloride,0,0,6,Kroger Company
nicotine polacrilex,0,0,12,Wal-Mart Stores Inc
clonidine hydrochloride,0,50,68,"Actavis Pharma, Inc."
,1,46,539,Unknown
benzalkonium chloride,0,0,6,Kroger Company
,0,27,78,Unknown
benzalkonium chloride,0,0,6,Kroger Company
,0,0,41,Unknown
"acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride",0,0,77,Amazon.com Services LLC
,0,64,84,Unknown
,0,24,79,Unknown
,0,0,23,Unknown
pregabalin,0,48,99,Bryant Ranch Prepack
,0,0,19,Unknown
,0,17,354,Unknown
berberis quartz,0,0,5,URIEL PHARMACY INC.
carvedilol,0,191,191,QPharma Inc
,0,0,16,Unknown
eszopiclone,1,75,111,Preferred Pharmaceuticals Inc.
,1,77,512,Unknown
naltrexone hydrochloride,0,92,49,A-S Medication Solutions
,1,80,77,Unknown
,0,16,54,Unknown
,0,51,161,Unknown
guaifenesin and pseudoephedrine hcl,0,0,53,Walgreens Company
,0,0,11,Unknown
tropicamide,0,12,10,Sandoz Inc
,0,0,13,Unknown
,0,0,29,Unknown
chlorthalidone,0,10,290,"Unichem Pharmaceuticals (USA), Inc."
doxycycline hyclate,0,16,501,"NuCare Pharmaceuticals,Inc."
,0,59,73,Unknown
,0,0,11,Unknown
trandolapril,1,81,122,"Rising Pharma Holdings, Inc."
calcium carbonate,0,0,13,Advance Pharmaceutical Inc.
,0,0,0,Unknown
,0,0,4,Unknown
codeine sulfate,1,241,280,Hikma Pharmaceuticals USA Inc.
docusate sodium,0,0,20,H E B
,0,0,15,Unknown
,0,0,12,Unknown
"agaricus muscarius, cuprum met, hypophysis, rhus tox",0,0,9,RUBIMED AG
isopropyl alcohol,0,0,16,Universal Distribution Center LLC
olopatadine hydrochloride ophthalmic solution,0,0,16,"WAL-MART STORES, INC.,"
solifenacin succinate,0,124,56,"Glenmark Pharmaceuticals Inc., USA"
acetaminophen 500mg/ diphenhydramine hcl 25mg,0,0,14,TIME CAP LABS INC
minoxidil,0,0,18,Costco Wholesale Company
,0,0,31,Unknown
,0,0,14,Unknown
,0,0,17,Unknown
,0,0,30,Unknown
,1,120,39,Unknown
,0,0,14,Unknown
,1,45,461,Unknown
